year,score,votes,budget,gross,runtime
1980,8.4,927000,19000000.0,46998.772000000004,146
1980,5.8,65000,4500000.0,58853.106,104
1980,8.7,1200000,18000000.0,538375.067,124
1980,7.7,221000,3500000.0,83453.539,88
1980,7.3,108000,6000000.0,39846.344,98
1980,6.4,123000,550000.0,39754.601,95
1980,7.9,188000,27000000.0,115229.89,133
1980,8.2,330000,18000000.0,23402.427,129
1980,6.8,101000,54000000.0,108185.706,127
1980,7.0,10000,10000000.0,15795.189,100
1980,6.1,18000,15000000.0,70687.344,116
1980,7.3,54000,5000000.0,30031.783,109
1980,5.3,30000,20000000.0,49823.037000000004,114
1980,7.7,49000,6000000.0,54766.923,124
1980,7.1,37000,6500000.0,31899.0,104
1980,7.2,27000,5100000.0,9709.597,103
1980,6.6,21000,,21202.829,134
1980,6.9,29000,10000000.0,103300.686,109
1980,6.8,66000,1000000.0,21448.782,89
1980,6.8,26000,,101300.0,111
1980,6.5,20000,11000000.0,19814.523,102
1980,6.8,14000,44000000.0,3484.523,219
1980,6.7,22000,12000000.0,16647.8,103
1980,5.3,12000,20000000.0,22762.571,96
1980,6.4,14000,,46918.287000000004,132
1980,6.9,33000,,19853.892,102
1980,6.5,5100,,34326.249,96
1980,5.0,4100,36000000.0,,115
1980,7.2,17000,9000000.0,37121.708,131
1980,6.2,22000,4800000.0,22743.674,117
1980,7.1,8900,,22482.952,102
1980,5.4,16000,,14796.236,92
1980,5.3,15000,,66132.626,100
1980,6.1,604,5100000.0,534.816,97
1980,6.7,9100,,43995.918,102
1980,6.2,24000,10000000.0,69847.348,109
1980,6.3,4300,4000000.0,10000.0,91
1980,6.0,11000,3000000.0,6342.668000000001,101
1980,5.9,4000,,27118.0,115
1980,7.5,17000,,67182.787,124
1980,6.3,5700,,5000.0,84
1980,7.9,13000,,,107
1980,7.1,9000,3500000.0,7063.886,131
1980,6.6,11000,,6659.377,99
1980,4.8,2000,,8415.112000000001,101
1980,6.1,12000,,41675.194,99
1980,5.3,3900,22000000.0,15716.828,109
1980,4.6,3900,300000.0,,82
1980,5.1,3100,15000000.0,14662.035,94
1980,8.3,15000,35000000.0,,173
1980,7.3,22000,10000000.0,10389.003,89
1980,6.8,4500,7000000.0,4309.49,95
1980,4.2,3700,20000000.0,,124
1980,6.1,11000,6500000.0,24265.659,116
1980,7.0,6700,,12.516,139
1980,6.7,2900,,,91
1980,4.6,2600,20000000.0,3763.9880000000003,121
1980,5.4,2400,6000000.0,6216.067,103
1980,5.1,5200,4000000.0,18971.0,103
1980,5.3,2400,11000000.0,,97
1980,5.0,5300,,18000.0,100
1980,6.7,1900,,14287.755000000001,123
1980,5.5,875,,,91
1980,6.3,1400,,17815.212,119
1980,7.3,2800,,3910.0190000000002,103
1980,6.3,2000,,7653.061000000001,93
1980,8.1,12000,900000.0,,150
1980,5.1,2000,,10697.276,100
1980,6.6,915,,9870.727,86
1980,6.0,1500,,15934.737000000001,98
1980,4.7,1800,,14155.617,103
1980,7.3,2900,,2013.193,75
1980,5.5,965,,5215.015,97
1980,5.2,1100,,4226.37,106
1980,5.5,585,,2086.905,112
1980,5.8,1300,6000000.0,11000.0,97
1980,6.3,1400,,6321.392,103
1980,5.9,415,5500000.0,4400.0,115
1980,7.4,1300,,109.749,95
1980,6.9,1000,3000000.0,,108
1980,4.0,546,5100000.0,59.167,94
1980,4.8,643,,2128.395,96
1980,5.2,351,,2806.659,97
1980,7.9,4800,,167.451,83
1980,5.2,2100,,14504.277,94
1980,6.5,269,,804.713,105
1980,5.8,1900,,6950.125,102
1980,4.3,740,,6621.52,89
1980,6.8,599,,2261.507,96
1980,6.5,211,,1175.855,105
1980,4.3,593,,15198.912,97
1980,6.7,230,,,89
1981,8.4,905000,18000000.0,389925.971,115
1981,7.4,32000,,24058.838,113
1981,7.5,97000,10000000.0,30669.378,97
1981,7.2,131000,6000000.0,25244.626,99
1981,7.5,192000,350000.0,2956.63,85
1981,6.2,40000,2500000.0,111289.673,94
1981,7.4,47000,18000000.0,12000.0,108
1981,6.9,42000,15000000.0,41092.328,118
1981,7.4,59000,11000000.0,34971.136,140
1981,7.6,170000,3000000.0,23668.369,96
1981,8.3,237000,,11487.676,149
1981,6.9,68000,10000000.0,85297.0,106
1981,7.4,27000,,1113.538,124
1981,6.2,34000,18000000.0,72179.579,95
1981,7.4,27000,5500000.0,11492.915,123
1981,4.9,7600,,32492.674,116
1981,7.0,60000,5000000.0,42368.025,110
1981,6.8,4200,,50427.646,107
1981,6.1,61000,1250000.0,21722.776,87
1981,6.8,51000,,14225.876,103
1981,6.7,94000,28000000.0,54813.222,127
1981,6.5,77000,2500000.0,25533.818,92
1981,6.8,17000,14000000.0,35856.053,126
1981,7.3,21000,32000000.0,40382.659,195
1981,7.6,29000,,119285.432,109
1981,7.3,87000,12000000.0,63456.988000000005,83
1981,7.2,56000,5500000.0,59303.359000000004,125
1981,6.9,12000,12000000.0,40716.963,116
1981,3.4,5300,6500000.0,36565.28,115
1981,6.7,29000,10000000.0,10853.418,116
1981,6.9,27000,7000000.0,95461.682,97
1981,7.8,19000,,5.073,110
1981,5.8,7300,,15965.924,91
1981,6.6,11000,3000000.0,,94
1981,6.9,47000,11000000.0,31672.907,92
1981,6.6,32000,1000000.0,17985.893,91
1981,6.7,16000,18000000.0,14110.013,109
1981,6.9,5300,3000000.0,1752.634,109
1981,7.3,21000,12500000.0,20962.615,100
1981,5.6,19000,5000000.0,20471.382,108
1981,6.7,15000,5000000.0,19032.261,129
1981,5.2,3400,2800000.0,26279.0,87
1981,6.6,22000,12000000.0,12376.625,122
1981,7.3,9000,,14920.781,155
1981,5.6,5200,2500000.0,8279.042,100
1981,6.0,4500,8500000.0,6400.0,103
1981,7.4,38000,,5732.587,110
1981,6.6,28000,16000000.0,17374.595,109
1981,7.2,17000,,,106
1981,6.4,5700,12000000.0,14867.086000000001,122
1981,6.8,21000,400000.0,123.843,87
1981,6.3,7900,,23371.905,110
1981,6.3,19000,,5672.031,90
1981,5.9,13000,,7886.857,96
1981,6.5,5700,26000000.0,636.796,107
1981,7.0,13000,,26890.068,124
1981,7.2,14000,,31206.251,97
1981,6.3,7500,10000000.0,12850.276,108
1981,6.1,4900,8000000.0,,93
1981,6.4,18000,5000000.0,19905.359,99
1981,6.2,7100,,37000.0,88
1981,6.3,5600,,35610.1,122
1981,5.6,7600,8500000.0,29916.207000000002,94
1981,5.9,1300,,237.0,87
1981,7.1,9900,,17583.634000000002,112
1981,6.3,9400,17000000.0,10626.725,115
1981,5.5,4400,,5165.432,86
1981,7.5,7600,8600000.0,8124.2570000000005,167
1981,5.5,5700,,2447.576,104
1981,6.2,4800,,15578.237000000001,103
1981,7.2,12000,,110.014,117
1981,5.8,2600,,5229.643,92
1981,6.7,5800,,29200.0,125
1981,6.0,2400,800000.0,1118.634,84
1981,6.2,4100,,,93
1981,5.4,2600,20000000.0,18826.49,98
1981,5.6,2600,6000000.0,9566.593,92
1981,5.5,4500,,20259.961,88
1981,6.0,891,,14923.752,112
1981,6.3,1300,,12.042,101
1981,4.9,3600,250000.0,,96
1981,5.1,4900,8000000.0,26154.211,93
1981,6.5,5300,22000000.0,9171.289,108
1981,7.2,4400,1500000.0,,96
1981,5.1,2000,18000000.0,12617.845000000001,98
1981,5.2,1300,14000000.0,2022.771,118
1981,5.6,2400,,1169.875,88
1981,5.5,3600,3800000.0,,106
1981,6.8,1100,2700000.0,3256.082,103
1981,5.9,1600,,14492.125,117
1981,6.5,4500,10000000.0,7258.543000000001,96
1981,6.1,2900,11000000.0,31261.269,94
1981,7.0,3600,,2863.6420000000003,93
1981,4.3,1300,12000000.0,2154.696,78
1981,5.6,829,,11809.387,94
1981,5.0,761,3500000.0,17569.027000000002,100
1981,6.8,1400,,1976.198,94
1981,7.3,2700,13000000.0,8206.145,119
1981,2.7,659,46000000.0,5200.986,140
1981,5.5,1700,14000000.0,4454.295,87
1981,5.6,1100,12000000.0,3702.0280000000002,100
1981,5.4,1100,16000000.0,10851.261,116
1981,6.5,1300,,25524.778000000002,120
1981,5.2,928,24000000.0,2004.742,107
1981,4.9,920,,18838.812,94
1981,5.5,384,2000000.0,1791.147,90
1981,2.9,674,,,82
1981,5.0,1200,,16000.0,96
1981,5.8,782,,6892.098,112
1981,5.1,101,,,100
1981,5.1,499,,12000.0,91
1981,6.9,1100,,17.11,129
1981,6.3,228,,1622.8980000000001,94
1982,7.2,98000,4500000.0,27092.88,90
1982,8.1,710000,28000000.0,41676.878000000004,117
1982,8.1,382000,15000000.0,19632.053,109
1982,6.9,141000,20000000.0,68851.475,129
1982,7.8,381000,10500000.0,792910.554,115
1982,7.7,234000,15000000.0,125212.90400000001,93
1982,7.0,52000,7500000.0,129795.554,124
1982,4.4,34000,13200000.0,15171.476,115
1982,6.6,41000,50000000.0,57063.861000000004,127
1982,7.3,148000,10700000.0,77142.388,114
1982,6.9,73000,12000000.0,78868.508,96
1982,7.7,115000,11200000.0,78912.963,113
1982,4.9,2500,,5588.8,100
1982,6.3,8100,,5829.781,92
1982,7.6,44000,12000000.0,30036.0,150
1982,8.0,220000,22000000.0,52767.889,191
1982,7.4,100000,21000000.0,177200.0,116
1982,6.8,115000,17000000.0,33000.525,96
1982,7.6,37000,7000000.0,14665.733,82
1982,7.8,94000,20000000.0,2536.242,109
1982,6.8,179000,17000000.0,125052.686,99
1982,6.2,22000,8000000.0,14056.528,118
1982,6.9,44000,8000000.0,21028.755,120
1982,7.3,8200,3500000.0,20659.423,102
1982,8.0,78000,12000000.0,22265.763,95
1982,6.2,20000,18000000.0,7000.0,118
1982,8.1,59000,6000000.0,6795.771,188
1982,5.7,49000,2300000.0,36690.067,95
1982,6.0,26000,18000000.0,46708.276,136
1982,5.0,45000,2500000.0,14400.0,98
1982,7.2,63000,15000000.0,41630.431000000004,93
1982,7.7,37000,16000000.0,53993.738,129
1982,6.1,9300,300000.0,2032.3110000000001,85
1982,4.9,6500,,16897.768,98
1982,5.9,2800,,20225.989,108
1982,7.2,25000,17000000.0,29712.172000000002,136
1982,7.1,19000,5000000.0,14099.953,110
1982,6.0,10000,35000000.0,69701.637,114
1982,7.1,20000,13000000.0,10278.575,115
1982,6.6,15000,,21095.638,106
1982,5.7,3900,,4968.0,98
1982,7.6,20000,,28229.046000000002,134
1982,7.4,25000,3500000.0,6455.33,92
1982,6.7,15000,9000000.0,13277.558,125
1982,6.2,50000,15000000.0,27150.534,85
1982,5.8,11000,17000000.0,47118.057,102
1982,6.0,7800,425000.0,10604.986,91
1982,7.1,15000,10000000.0,6110.67,117
1982,5.6,5700,,39103.425,99
1982,6.0,15000,2000000.0,16100.0,89
1982,5.5,5300,4500000.0,10490.791000000001,103
1982,3.7,3400,20000000.0,5675.599,99
1982,6.3,2600,16000000.0,5672.311,128
1982,6.9,21000,9000000.0,18196.170000000002,88
1982,5.5,11000,5000000.0,12534.817000000001,104
1982,7.7,19000,9500000.0,14000.0,122
1982,7.3,7300,,,140
1982,4.9,1100,,11378.339,104
1982,6.7,3500,11300000.0,5301.539,120
1982,7.0,13000,,19282.134000000002,116
1982,6.5,2000,,7400.0,103
1982,3.6,1700,750000.0,,83
1982,5.9,1500,,1515.578,111
1982,6.5,2200,13000000.0,5005.245,140
1982,5.5,3000,,30688.86,96
1982,7.4,9000,,20123.62,92
1982,6.1,4300,10000000.0,5979.947,93
1982,3.9,2300,800000.0,2.27,85
1982,6.9,2500,,11897.978000000001,113
1982,6.6,8200,2000000.0,4484.991,122
1982,5.6,3700,,7742.572,98
1982,7.2,4200,850000.0,840.958,109
1982,6.4,3000,6000000.0,2666.873,125
1982,5.0,9800,6000000.0,9056.073,96
1982,6.0,1800,,1054.328,91
1982,6.4,6100,22000000.0,6118.683,108
1982,6.0,1900,,15782.759,101
1982,6.6,19000,,9077.269,88
1982,6.5,2000,,13253.583,97
1982,5.5,2700,15000000.0,36821.203,116
1982,6.9,2500,12000000.0,9217.53,124
1982,5.1,684,17000000.0,946.461,105
1982,6.4,1500,11000000.0,1736.123,90
1982,5.7,3800,,13258.67,103
1982,4.9,501,,2370.376,95
1982,4.7,2000,,10054.15,84
1982,5.6,2400,,9823.934000000001,110
1982,6.2,5100,,13111.101,110
1982,6.5,768,,263.635,110
1982,6.3,2000,,2977.706,108
1982,5.3,1100,4000000.0,6328.816,96
1982,5.7,1800,10000000.0,3583.513,117
1982,5.7,818,,6668.025000000001,107
1982,7.0,3000,,3.7,121
1982,6.2,1100,5000000.0,3792.188,87
1982,5.6,2900,5000000.0,6660.3330000000005,90
1982,6.2,2100,,7241.18,90
1982,6.2,683,,143.369,94
1982,6.5,1300,10000000.0,8000.0,107
1982,5.9,914,,1474.249,97
1982,6.0,3100,7000000.0,21134.374,90
1982,3.5,322,,2914.328,90
1982,4.7,984,13400000.0,2869.638,103
1982,7.4,4100,,3723.036,112
1982,5.7,1500,,16894.678,87
1982,5.8,1400,,23671.186,97
1982,6.5,3000,,42.914,97
1982,6.1,1000,15000000.0,199.078,108
1982,4.4,538,,3178.542,108
1982,6.8,785,,8693.512,103
1982,5.3,1200,6000000.0,6062.898,93
1982,7.7,3900,,36299.72,82
1982,7.1,1800,,78.35000000000001,74
1982,5.1,838,,12408.066,121
1982,3.9,653,19000000.0,2279.543,110
1982,6.2,895,,6968.359,108
1982,7.2,1300,,3783.329,109
1982,6.1,460,,3355.948,98
1982,5.8,665,,22.44,106
1982,6.8,352,,,78
1982,6.3,256,,5124.3910000000005,94
1982,5.7,253,,,96
1982,3.8,651,10000.0,,98
1982,7.0,240,,,80
1982,6.7,75,435000.0,,90
1982,6.8,336,,777.087,106
1983,8.3,766000,25000000.0,65884.70300000001,170
1983,7.1,78000,10000000.0,25697.647,91
1983,8.3,973000,32500000.0,475106.177,131
1983,6.8,83000,6200000.0,63541.777,99
1983,7.4,100000,15000000.0,61399.552,98
1983,7.5,141000,15000000.0,90404.8,116
1983,5.0,66000,39000000.0,59950.623,125
1983,7.2,34000,8000000.0,56399.659,105
1983,4.7,15000,22000000.0,64892.67,93
1983,3.7,41000,20500000.0,87987.05500000001,99
1983,6.7,75000,9700000.0,21017.849000000002,110
1983,6.3,28000,350000.0,,84
1983,6.2,50000,4000000.0,92921.20300000001,95
1983,7.1,93000,12000000.0,79567.667,114
1983,7.8,57000,27000000.0,21192.315,193
1983,6.1,31000,47000000.0,16916.617000000002,121
1983,4.9,2800,,24071.666,102
1983,7.2,65000,10000000.0,20766.616,103
1983,6.5,98000,27500000.0,67893.619,131
1983,5.3,6100,3500000.0,14049.54,89
1983,6.4,14000,350000.0,17343.596,99
1983,7.2,32000,10000000.0,2494.48,94
1983,7.2,86000,5952000.0,2120.439,87
1983,7.4,57000,8000000.0,108423.749,132
1983,6.5,34000,10000000.0,29450.919,101
1983,6.2,63000,36000000.0,55432.841,134
1983,7.9,134000,3300000.0,20653.717,93
1983,6.1,41000,5000000.0,21156.152000000002,93
1983,6.6,42000,22000000.0,67642.693,117
1983,6.7,24000,,5988.322,97
1983,6.6,22000,,64783.827000000005,91
1983,6.4,18000,22000000.0,42313.354,109
1983,5.9,8700,7500000.0,19910.002,100
1983,6.5,25000,5000000.0,34725.0,113
1983,7.4,22000,,5899.678,111
1983,7.2,14000,,9190.819,123
1983,7.2,19000,10000000.0,35615.609000000004,131
1983,5.9,16000,5600000.0,17233.166,91
1983,5.7,11000,11000000.0,4218.594,96
1983,5.2,3300,,22587.834,97
1983,6.6,13000,12000000.0,40218.899,133
1983,6.6,10000,1200000.0,760.883,81
1983,6.9,6900,,4786.789,95
1983,6.0,7500,6500000.0,4300.0,96
1983,7.5,115000,9000000.0,14949.697,107
1983,8.1,24000,,55.269,125
1983,5.0,3200,,20307.325,96
1983,3.5,8200,,5678.95,85
1983,4.6,4600,457000.0,11919.25,80
1983,5.0,11000,6500000.0,33759.266,98
1983,6.8,8600,19000000.0,8400.0,95
1983,7.4,9700,,8443.124,92
1983,6.7,6000,12000000.0,6472.99,103
1983,6.7,13000,15000000.0,15856.028,128
1983,6.3,11000,5000000.0,12232.628,107
1983,6.3,8200,,29309.766,95
1983,7.3,16000,,2306.56,123
1983,4.9,4200,7000000.0,1246.141,100
1983,4.7,3000,800000.0,2082.215,80
1983,6.4,11000,15000000.0,10219.460000000001,106
1983,6.4,25000,,10353.438,93
1983,5.7,2900,3000000.0,17488.564000000002,94
1983,6.3,7200,4520000.0,7175.592000000001,101
1983,6.4,9300,14500000.0,30503.151,105
1983,5.2,5400,,10375.893,89
1983,5.2,1900,250000.0,4319.001,93
1983,4.9,3700,,13000.0,96
1983,5.0,1500,25000000.0,1402.962,111
1983,4.7,3900,14000000.0,23646.952,88
1983,5.0,2100,1250000.0,6149.983,95
1983,5.5,5500,14400000.0,16478.265,90
1983,6.1,5100,19000000.0,28445.927,105
1983,7.5,7800,,29600.0,105
1983,7.1,3300,,694.4970000000001,112
1983,6.5,3400,8000000.0,30.379,77
1983,4.0,3600,2500000.0,10676.194,98
1983,7.2,13000,,14648.076000000001,110
1983,4.3,1200,,5563.6630000000005,83
1983,7.0,7200,9500000.0,5696.3910000000005,128
1983,4.1,6000,6000000.0,6333.135,105
1983,7.0,5800,,2044.892,90
1983,5.9,8200,6500000.0,6486.7970000000005,103
1983,6.1,4700,700000.0,13168.027,90
1983,7.7,41000,,11798.616,79
1983,6.5,458,,,110
1983,4.6,2300,,,89
1983,6.8,10000,9000000.0,13030.214,107
1983,6.0,3100,,123.572,130
1983,4.7,1100,8000000.0,724.912,98
1983,5.6,7400,,15543.710000000001,91
1983,4.4,2900,,2810.199,88
1983,6.1,2900,4000000.0,1080.47,88
1983,4.3,5700,11000000.0,4491.986,109
1983,5.5,4400,8000000.0,16134.627,100
1983,5.7,1200,11800000.0,5997.566,104
1983,5.8,4700,12000000.0,14000.0,103
1983,3.0,938,5000000.0,1223.2,92
1983,6.3,6500,,5555.305,109
1983,7.6,4900,,5310.7480000000005,118
1983,6.6,2600,,11787.127,102
1983,7.0,1700,,,127
1983,5.3,2200,19000000.0,10964.74,110
1983,5.8,3000,6000000.0,6670.68,99
1983,4.6,3600,10000000.0,10369.581,99
1983,5.7,1100,5000000.0,1262.691,95
1983,6.6,3300,,17613.72,98
1983,4.9,2100,,6347.072,101
1983,6.3,1700,3000000.0,1867.7920000000001,105
1983,6.6,1600,,1772.8890000000001,130
1983,5.2,1700,,,85
1983,6.6,1200,,687.475,130
1983,6.7,1300,,272.278,113
1983,5.9,701,550000.0,5269.99,88
1983,6.7,1100,5500000.0,1645.711,92
1983,6.2,2100,12000000.0,1963.756,99
1983,5.5,2700,,1362.303,94
1983,6.0,2100,,12049.514000000001,103
1983,3.8,1600,,5301.085,84
1983,3.7,208,220000.0,975.414,96
1983,6.8,1600,300000.0,1530.839,110
1983,5.8,115,,,89
1983,5.2,747,10100000.0,10171.304,95
1983,6.7,659,8000000.0,3000.0,106
1983,5.1,786,,1818.91,100
1983,5.3,456,5000000.0,4304.286,91
1983,4.3,617,,1723.487,86
1983,3.8,513,,2443.487,111
1983,6.1,681,,2439.705,122
1983,5.2,786,,6857.733,103
1983,4.7,460,,,105
1983,6.1,368,,2314.561,99
1983,6.3,661,,,111
1983,4.9,360,,108.128,89
1983,6.0,235,100000.0,,92
1983,7.3,2200,,16156.776,83
1983,4.9,300,3000000.0,,95
1983,7.2,826,50000.0,26.177,115
1983,5.4,169,,,96
1983,4.5,131,,,92
1983,5.4,182,2500000.0,,95
1983,5.0,275,3000.0,,80
1983,6.7,51,,,84
1983,5.3,313,,6666.725,94
1983,8.3,79,323562.0,,55
1984,8.0,812000,6400000.0,78371.2,107
1984,6.5,132000,40000000.0,30925.690000000002,137
1984,7.8,365000,30000000.0,296187.079,105
1984,7.3,205000,8000000.0,91119.319,126
1984,8.4,321000,30000000.0,5473.212,229
1984,6.7,118000,4500000.0,81198.894,96
1984,7.5,459000,28000000.0,333107.271,118
1984,6.8,30000,10000000.0,8801.94,114
1984,7.5,212000,1800000.0,25507.137,91
1984,8.3,377000,18000000.0,52066.791000000005,160
1984,7.3,171000,14000000.0,316360.478,105
1984,6.4,53000,17000000.0,38376.497,114
1984,7.4,135000,27000000.0,20251.411,102
1984,6.6,73000,8200000.0,80039.064,107
1984,6.6,50000,8000000.0,40874.452,90
1984,7.3,204000,11000000.0,153633.143,106
1984,6.9,86000,10000000.0,86572.238,106
1984,6.7,19000,14500000.0,8089.29,93
1984,7.0,108000,6500000.0,23686.027000000002,93
1984,8.1,96000,,2207.5480000000002,145
1984,7.9,132000,2500000.0,4736.202,82
1984,7.1,68000,,8430.492,113
1984,7.2,62000,9000000.0,20458.34,90
1984,5.9,77000,18000000.0,31042.035,103
