ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead,CreditProduct_No,CreditProduct_Yes,IsActive_No,IsActive_Yes
NNVBBKZB,Female,73,RG268,Other,X3,43.0,No,1045696,No,0,1.0,0.0,1.0,0.0
IDD62UNG,Female,30,RG277,Salaried,X1,32.0,No,581988,No,0,1.0,0.0,1.0,0.0
HD3DSEMC,Female,56,RG268,Self_Employed,X3,26.0,No,1484315,Yes,0,1.0,0.0,0.0,1.0
BF3NC7KV,Male,34,RG270,Salaried,X1,19.0,No,470454,No,0,1.0,0.0,1.0,0.0
TEASRWXV,Female,30,RG282,Salaried,X1,33.0,No,886787,No,0,1.0,0.0,1.0,0.0
ACUTYTWS,Male,56,RG261,Self_Employed,X1,32.0,No,544163,Yes,0,1.0,0.0,0.0,1.0
ETQCZFEJ,Male,62,RG282,Other,X3,20.0,No,1056750,Yes,1,1.0,0.0,0.0,1.0
JJNJUQMQ,Female,48,RG265,Self_Employed,X3,13.0,No,444724,Yes,0,1.0,0.0,0.0,1.0
ZMQFYKCB,Female,40,RG283,Self_Employed,X2,38.0,No,1274284,No,0,1.0,0.0,1.0,0.0
NVKTFBA2,Female,55,RG268,Self_Employed,X2,49.0,Yes,2014239,No,0,0.0,1.0,1.0,0.0
NVC424KZ,Male,53,RG254,Self_Employed,X3,123.0,No,980664,Yes,0,1.0,0.0,0.0,1.0
GZ5TMYIR,Male,27,RG270,Self_Employed,X1,14.0,Yes,502787,No,0,0.0,1.0,1.0,0.0
FCPEEIY3,Female,27,RG277,Salaried,X1,20.0,No,811591,Yes,0,1.0,0.0,0.0,1.0
KCE7JSFN,Male,31,RG254,Salaried,X1,31.0,Yes,938754,No,0,0.0,1.0,1.0,0.0
EMEEHHBK,Male,79,RG277,Other,X3,57.0,No,832185,Yes,0,1.0,0.0,0.0,1.0
UJ2NJKKL,Male,33,RG268,Self_Employed,X2,69.0,No,517063,Yes,1,1.0,0.0,0.0,1.0
CNGSPYWS,Female,46,RG268,Other,X3,97.0,Yes,2282502,No,1,0.0,1.0,1.0,0.0
VH7NBNNQ,Female,59,RG283,Other,X3,15.0,Yes,2384692,No,1,0.0,1.0,1.0,0.0
HDNJXDWC,Female,65,RG277,Other,X2,20.0,No,341573,Yes,0,1.0,0.0,0.0,1.0
BDOKI4CP,Female,37,RG269,Other,X1,63.0,No,633484,Yes,0,1.0,0.0,0.0,1.0
7PMYNWB3,Male,44,RG269,Self_Employed,X2,19.0,Yes,1001650,No,1,0.0,1.0,1.0,0.0
6JXEYFTS,Male,27,RG257,Salaried,X1,21.0,No,1239342,No,0,1.0,0.0,1.0,0.0
NRZGJBV6,Female,32,RG279,Salaried,X1,26.0,No,1339779,Yes,0,1.0,0.0,0.0,1.0
WWIFTDEZ,Male,50,RG280,Self_Employed,X3,99.0,No,887330,Yes,0,1.0,0.0,0.0,1.0
J7TXC9PM,Female,31,RG282,Salaried,X1,33.0,No,396806,No,0,1.0,0.0,1.0,0.0
BKYUGEXJ,Male,70,RG280,Other,X2,63.0,No,872600,No,0,1.0,0.0,1.0,0.0
TEEXIT7E,Male,25,RG283,Salaried,X1,14.0,No,804577,Yes,0,1.0,0.0,0.0,1.0
KKCUHNIZ,Female,31,RG268,Salaried,X1,26.0,No,1543429,No,0,1.0,0.0,1.0,0.0
D2HUKRM5,Female,27,RG277,Salaried,X1,19.0,No,423862,No,0,1.0,0.0,1.0,0.0
KGLLM5AM,Female,52,RG283,Self_Employed,X3,56.0,Yes,1056910,Yes,1,0.0,1.0,0.0,1.0
THFYI78B,Female,26,RG280,Salaried,X1,21.0,No,483136,No,0,1.0,0.0,1.0,0.0
ABPMK4WU,Female,32,RG279,Salaried,X4,15.0,No,1072850,Yes,1,1.0,0.0,0.0,1.0
8NT2COGL,Female,32,RG252,Salaried,X1,31.0,No,394225,No,0,1.0,0.0,1.0,0.0
PQXUNUBE,Male,27,RG279,Salaried,X1,21.0,Yes,312158,No,0,0.0,1.0,1.0,0.0
FXPTJYP7,Male,67,RG268,Other,X1,87.0,Yes,1684182,No,1,0.0,1.0,1.0,0.0
PML5FCBV,Female,29,RG284,Salaried,X1,26.0,No,2521592,No,0,1.0,0.0,1.0,0.0
MTEIXMB9,Female,41,RG268,Self_Employed,X3,62.0,No,962383,No,1,1.0,0.0,1.0,0.0
AGDXY8Y5,Male,59,RG284,Self_Employed,X3,55.0,Yes,294714,Yes,1,0.0,1.0,0.0,1.0
DVT4HY9T,Male,49,RG268,Salaried,X3,63.0,Yes,1280247,Yes,1,0.0,1.0,0.0,1.0
87RGCC5J,Female,48,RG283,Self_Employed,X1,26.0,Yes,1343268,Yes,0,0.0,1.0,0.0,1.0
6WX9JDVK,Female,63,RG254,Other,X3,103.0,No,1249319,Yes,1,1.0,0.0,0.0,1.0
GOKQQYOZ,Female,34,RG259,Salaried,X1,21.0,Yes,503143,No,0,0.0,1.0,1.0,0.0
RZOTSEWU,Female,46,RG281,Self_Employed,X3,69.0,Yes,589616,Yes,0,0.0,1.0,0.0,1.0
8ZRKYVMC,Male,61,RG254,Self_Employed,X2,103.0,No,2235617,Yes,1,1.0,0.0,0.0,1.0
UFQKX85Q,Female,34,RG258,Salaried,X1,31.0,No,643728,No,0,1.0,0.0,1.0,0.0
6DSYSPJI,Male,64,RG284,Other,X2,87.0,Yes,2194259,No,0,0.0,1.0,1.0,0.0
WEEBFQFF,Female,29,RG280,Other,X1,31.0,No,308091,No,0,1.0,0.0,1.0,0.0
E58WHHER,Male,41,RG266,Self_Employed,X4,14.0,No,228187,Yes,0,1.0,0.0,0.0,1.0
3EZ9VENT,Male,40,RG260,Self_Employed,X3,20.0,No,403899,No,0,1.0,0.0,1.0,0.0
ENKVYPSK,Female,26,RG270,Salaried,X1,14.0,No,300971,No,0,1.0,0.0,1.0,0.0
R25YTVSB,Female,27,RG269,Salaried,X1,32.0,No,1188692,No,0,1.0,0.0,1.0,0.0
KKJM7YSI,Female,27,RG279,Salaried,X1,14.0,No,894547,No,0,1.0,0.0,1.0,0.0
HQ6OCAPR,Female,59,RG254,Self_Employed,X2,57.0,No,1797301,No,0,1.0,0.0,1.0,0.0
JLHDNBUG,Male,60,RG268,Other,X3,104.0,Yes,1681503,No,1,0.0,1.0,1.0,0.0
LHCIEDVN,Female,27,RG257,Other,X1,13.0,No,344430,Yes,0,1.0,0.0,0.0,1.0
G9JQ3YXM,Female,29,RG274,Salaried,X1,19.0,No,621424,No,0,1.0,0.0,1.0,0.0
MYQVVJNR,Female,76,RG283,Other,X3,93.0,No,1061778,Yes,1,1.0,0.0,0.0,1.0
KYDSJMAF,Male,57,RG268,Self_Employed,X3,61.0,No,2110626,No,0,1.0,0.0,1.0,0.0
8DRVHH8G,Female,44,RG256,Self_Employed,X3,91.0,No,334159,No,0,1.0,0.0,1.0,0.0
JQHOPGIY,Male,37,RG277,Salaried,X1,27.0,No,403134,No,0,1.0,0.0,1.0,0.0
BHQ57HGE,Male,36,RG254,Self_Employed,X2,15.0,No,584792,No,1,1.0,0.0,1.0,0.0
NFKTDJEO,Male,33,RG268,Salaried,X2,39.0,No,858271,Yes,1,1.0,0.0,0.0,1.0
KWPLQBM5,Male,28,RG275,Other,X1,20.0,No,803171,No,0,1.0,0.0,1.0,0.0
QAEWRMJZ,Male,58,RG273,Self_Employed,X2,32.0,Yes,1148954,No,0,0.0,1.0,1.0,0.0
4KYUQM5T,Male,65,RG284,Other,X3,50.0,No,842331,Yes,0,1.0,0.0,0.0,1.0
QIT5X6XI,Female,43,RG268,Self_Employed,X2,14.0,Yes,757069,No,1,0.0,1.0,1.0,0.0
BMVY9HMH,Male,41,RG273,Salaried,X2,45.0,No,1301794,Yes,1,1.0,0.0,0.0,1.0
GRD4ASAB,Female,30,RG254,Other,X1,25.0,No,1348011,No,0,1.0,0.0,1.0,0.0
JHMECDT5,Male,26,RG254,Other,X1,26.0,No,2106541,No,0,1.0,0.0,1.0,0.0
AF6MCWFM,Male,30,RG274,Salaried,X1,26.0,Yes,571682,Yes,1,0.0,1.0,0.0,1.0
ZD7YSCRF,Female,27,RG254,Salaried,X1,26.0,Yes,480386,No,0,0.0,1.0,1.0,0.0
HXSR7NXQ,Male,27,RG254,Salaried,X1,13.0,No,2824468,No,0,1.0,0.0,1.0,0.0
8DRB9MJ7,Male,48,RG284,Self_Employed,X3,117.0,No,597510,No,0,1.0,0.0,1.0,0.0
GWNQOHZS,Male,35,RG261,Salaried,X1,26.0,No,1646945,No,0,1.0,0.0,1.0,0.0
FBTYYHEF,Female,30,RG267,Salaried,X1,19.0,No,777308,No,0,1.0,0.0,1.0,0.0
3WBGKSEZ,Female,49,RG283,Self_Employed,X2,57.0,Yes,2031478,Yes,0,0.0,1.0,0.0,1.0
6PDC2J7Y,Male,40,RG283,Self_Employed,X3,21.0,No,579924,Yes,0,1.0,0.0,0.0,1.0
ASOWTRTQ,Male,71,RG282,Other,X3,80.0,No,1635980,No,0,1.0,0.0,1.0,0.0
RVVH3HJH,Male,55,RG268,Self_Employed,X2,81.0,No,2073949,No,0,1.0,0.0,1.0,0.0
UYQ6AHQP,Female,73,RG284,Other,X3,81.0,No,740969,Yes,1,1.0,0.0,0.0,1.0
EJQSWB3E,Female,82,RG268,Other,X2,87.0,No,825475,Yes,0,1.0,0.0,0.0,1.0
59SC4PLK,Male,32,RG254,Salaried,X1,25.0,No,963843,No,0,1.0,0.0,1.0,0.0
Q4DONA6L,Male,45,RG273,Other,X3,73.0,No,254451,Yes,1,1.0,0.0,0.0,1.0
RAGPQVIW,Female,41,RG284,Other,X3,21.0,Yes,446744,Yes,0,0.0,1.0,0.0,1.0
HPLUCSBS,Male,44,RG284,Self_Employed,X2,67.0,Yes,1199853,Yes,0,0.0,1.0,0.0,1.0
M6XJVFRF,Female,29,RG265,Other,X1,32.0,No,328143,No,0,1.0,0.0,1.0,0.0
49HD2EFN,Female,30,RG254,Salaried,X1,27.0,No,1139467,No,0,1.0,0.0,1.0,0.0
WAHBZOUQ,Female,42,RG261,Self_Employed,X1,25.0,No,731037,No,0,1.0,0.0,1.0,0.0
XWMQXFTU,Female,54,RG268,Self_Employed,X3,97.0,Yes,1419710,Yes,1,0.0,1.0,0.0,1.0
OKSJNQ2Q,Male,58,RG272,Self_Employed,X3,57.0,No,777753,Yes,0,1.0,0.0,0.0,1.0
FQYJ5WEQ,Female,27,RG268,Other,X1,31.0,Yes,412701,Yes,0,0.0,1.0,0.0,1.0
NKMDPPAX,Male,28,RG251,Salaried,X1,13.0,No,187086,No,0,1.0,0.0,1.0,0.0
TEVZFJZ9,Male,46,RG269,Entrepreneur,X3,14.0,Yes,658003,No,0,0.0,1.0,1.0,0.0
J3KDTBZV,Male,61,RG254,Self_Employed,X3,109.0,No,1859183,No,0,1.0,0.0,1.0,0.0
BADKNR8F,Female,29,RG261,Salaried,X1,26.0,No,1637724,No,0,1.0,0.0,1.0,0.0
EAMNDHZT,Male,27,RG262,Self_Employed,X1,13.0,No,1829314,Yes,0,1.0,0.0,0.0,1.0
CKW8TZSW,Male,59,RG254,Self_Employed,X3,45.0,No,612417,Yes,1,1.0,0.0,0.0,1.0
2MRQPWKL,Female,33,RG264,Salaried,X1,13.0,No,429166,No,0,1.0,0.0,1.0,0.0
67JILKEK,Male,28,RG270,Salaried,X1,25.0,No,606552,No,0,1.0,0.0,1.0,0.0
DY5XD7KP,Female,30,RG260,Self_Employed,X1,26.0,No,651871,No,0,1.0,0.0,1.0,0.0
2ANR4UDN,Female,60,RG268,Other,X1,27.0,Yes,948918,No,0,0.0,1.0,1.0,0.0
AYA7AGXV,Male,47,RG254,Self_Employed,X2,33.0,No,675314,Yes,0,1.0,0.0,0.0,1.0
CH3KDRDX,Male,44,RG270,Self_Employed,X3,13.0,No,481231,Yes,0,1.0,0.0,0.0,1.0
MHOTYB3O,Male,49,RG283,Self_Employed,X2,56.0,No,650705,Yes,1,1.0,0.0,0.0,1.0
UCCSJGXM,Female,60,RG268,Self_Employed,X3,27.0,Yes,1209260,Yes,0,0.0,1.0,0.0,1.0
ZU3M7VBK,Male,40,RG283,Self_Employed,X2,26.0,Yes,1258032,No,0,0.0,1.0,1.0,0.0
3DLLLZTT,Male,26,RG256,Salaried,X1,27.0,Yes,682897,No,0,0.0,1.0,1.0,0.0
GEDBSPNO,Male,30,RG254,Salaried,X1,27.0,No,940899,No,0,1.0,0.0,1.0,0.0
DZ9WNZEJ,Female,40,RG282,Self_Employed,X2,56.0,No,761813,Yes,0,1.0,0.0,0.0,1.0
H8SSUOLH,Male,78,RG283,Other,X2,92.0,No,1808346,Yes,1,1.0,0.0,0.0,1.0
FZUWN4QB,Male,43,RG280,Self_Employed,X3,45.0,Yes,685664,No,1,0.0,1.0,1.0,0.0
HNZJII4C,Male,41,RG268,Self_Employed,X2,26.0,No,961155,No,0,1.0,0.0,1.0,0.0
KK8HKZEZ,Female,51,RG268,Self_Employed,X3,122.0,Yes,2230188,No,0,0.0,1.0,1.0,0.0
JAS9QVTW,Female,27,RG268,Salaried,X1,21.0,No,6278683,Yes,0,1.0,0.0,0.0,1.0
TCZNPN6Z,Male,28,RG281,Salaried,X1,15.0,No,358545,No,0,1.0,0.0,1.0,0.0
86KSFTPL,Female,25,RG270,Salaried,X1,19.0,No,937214,Yes,0,1.0,0.0,0.0,1.0
GZWNW77C,Female,68,RG254,Other,X3,21.0,No,1476874,Yes,0,1.0,0.0,0.0,1.0
6BOBHWF4,Male,57,RG278,Self_Employed,X2,80.0,Yes,599210,No,0,0.0,1.0,1.0,0.0
PDFNBVYL,Male,36,RG270,Other,X1,32.0,No,1771651,Yes,0,1.0,0.0,0.0,1.0
JMXU5DWU,Male,46,RG268,Self_Employed,X2,91.0,No,1346053,Yes,1,1.0,0.0,0.0,1.0
DKK33FRN,Male,50,RG283,Self_Employed,X3,91.0,Yes,1992558,No,1,0.0,1.0,1.0,0.0
BYBDRIYT,Female,46,RG276,Self_Employed,X2,81.0,Yes,694262,No,0,0.0,1.0,1.0,0.0
MKDB84R6,Female,83,RG272,Other,X2,73.0,No,2049305,Yes,0,1.0,0.0,0.0,1.0
LGTTAC9H,Female,50,RG268,Other,X2,75.0,No,957168,Yes,0,1.0,0.0,0.0,1.0
QUKLW8UR,Male,51,RG268,Self_Employed,X2,79.0,No,1388275,Yes,0,1.0,0.0,0.0,1.0
HXDKS6AG,Male,46,RG283,Self_Employed,X3,121.0,Yes,1947070,Yes,0,0.0,1.0,0.0,1.0
QAGYQMYH,Female,52,RG283,Self_Employed,X2,56.0,No,861164,Yes,1,1.0,0.0,0.0,1.0
7KPNANHS,Male,31,RG278,Salaried,X1,32.0,No,363271,No,0,1.0,0.0,1.0,0.0
EMVN9YJW,Male,34,RG277,Salaried,X1,13.0,No,760229,Yes,1,1.0,0.0,0.0,1.0
FXEYPQUE,Male,33,RG283,Salaried,X3,20.0,No,1232267,Yes,0,1.0,0.0,0.0,1.0
FO4N8AUE,Female,57,RG277,Self_Employed,X3,111.0,Yes,612916,No,0,0.0,1.0,1.0,0.0
NZDGI5CB,Male,39,RG283,Salaried,X2,45.0,Yes,1383852,Yes,1,0.0,1.0,0.0,1.0
AXBUBZA2,Female,84,RG284,Other,X1,32.0,No,1455239,No,1,1.0,0.0,1.0,0.0
SFMWRHFS,Male,44,RG268,Self_Employed,X3,87.0,No,2189471,Yes,0,1.0,0.0,0.0,1.0
5WTCQM8T,Male,51,RG269,Self_Employed,X2,15.0,No,728865,Yes,0,1.0,0.0,0.0,1.0
XZWKJXSE,Male,59,RG270,Self_Employed,X3,116.0,No,687560,Yes,0,1.0,0.0,0.0,1.0
XYCQGKBF,Male,42,RG254,Self_Employed,X2,20.0,No,705618,No,0,1.0,0.0,1.0,0.0
5UHQSVBQ,Male,55,RG251,Self_Employed,X3,111.0,No,309355,Yes,0,1.0,0.0,0.0,1.0
RVJ8EHSD,Male,28,RG279,Self_Employed,X1,14.0,No,1656290,Yes,0,1.0,0.0,0.0,1.0
NEQYSKOH,Female,29,RG270,Salaried,X1,33.0,No,576835,No,0,1.0,0.0,1.0,0.0
YJVRXE3J,Male,44,RG268,Self_Employed,X2,73.0,No,856473,No,0,1.0,0.0,1.0,0.0
BFXKUSWU,Male,56,RG270,Self_Employed,X3,116.0,No,490888,Yes,1,1.0,0.0,0.0,1.0
O28TZ2PT,Female,26,RG262,Salaried,X1,20.0,No,1175467,No,0,1.0,0.0,1.0,0.0
E5WQQBKA,Male,52,RG277,Self_Employed,X2,92.0,No,569973,Yes,0,1.0,0.0,0.0,1.0
6AIJ3W3H,Female,53,RG283,Self_Employed,X1,55.0,No,1583950,Yes,0,1.0,0.0,0.0,1.0
MLGTNA5P,Male,24,RG274,Salaried,X1,15.0,No,965391,No,0,1.0,0.0,1.0,0.0
25GBTWNE,Male,36,RG276,Other,X2,20.0,No,1128849,No,0,1.0,0.0,1.0,0.0
C7W9XRIA,Male,54,RG257,Self_Employed,X2,27.0,No,605422,Yes,0,1.0,0.0,0.0,1.0
XWVYMHMY,Female,56,RG280,Self_Employed,X3,123.0,No,1195492,Yes,1,1.0,0.0,0.0,1.0
N7TQ3KCH,Male,43,RG268,Other,X1,13.0,Yes,1203075,No,0,0.0,1.0,1.0,0.0
KG875MV5,Male,26,RG254,Salaried,X1,26.0,No,1192333,Yes,1,1.0,0.0,0.0,1.0
45TIWGFK,Male,59,RG268,Self_Employed,X2,50.0,No,1497273,No,0,1.0,0.0,1.0,0.0
DGSANBRC,Female,29,RG262,Salaried,X1,26.0,No,615141,No,0,1.0,0.0,1.0,0.0
CUHPBKMB,Female,31,RG281,Salaried,X1,26.0,No,846576,No,0,1.0,0.0,1.0,0.0
H5ZRIMFU,Female,31,RG283,Salaried,X1,15.0,No,2202456,Yes,0,1.0,0.0,0.0,1.0
MUJF6T2Y,Male,33,RG283,Salaried,X1,26.0,No,693016,No,0,1.0,0.0,1.0,0.0
IAV4XNG9,Female,37,RG268,Self_Employed,X2,19.0,No,738237,Yes,0,1.0,0.0,0.0,1.0
JM2PCVDG,Male,30,RG263,Salaried,X1,31.0,No,938914,No,0,1.0,0.0,1.0,0.0
YH2XPQAW,Female,39,RG268,Self_Employed,X3,85.0,No,876899,No,0,1.0,0.0,1.0,0.0
RKBKDSHM,Female,38,RG274,Self_Employed,X1,27.0,No,552075,No,0,1.0,0.0,1.0,0.0
6WMJHGH9,Male,47,RG254,Other,X2,87.0,Yes,1223500,No,0,0.0,1.0,1.0,0.0
YHCCWK5C,Male,61,RG278,Self_Employed,X2,57.0,No,844307,Yes,0,1.0,0.0,0.0,1.0
YUPTTPHK,Male,59,RG274,Self_Employed,X3,27.0,No,2367159,Yes,0,1.0,0.0,0.0,1.0
99VNYGBJ,Female,58,RG284,Self_Employed,X3,115.0,Yes,950609,Yes,1,0.0,1.0,0.0,1.0
LF3T3X7L,Female,49,RG279,Self_Employed,X2,86.0,No,859295,Yes,1,1.0,0.0,0.0,1.0
AZXQFDBI,Male,27,RG254,Salaried,X1,19.0,No,963656,Yes,0,1.0,0.0,0.0,1.0
EEL6MZKS,Female,51,RG257,Self_Employed,X3,43.0,Yes,657220,No,0,0.0,1.0,1.0,0.0
LIPZH2S4,Male,32,RG264,Salaried,X1,13.0,No,473061,No,0,1.0,0.0,1.0,0.0
AJ4IWPWP,Male,29,RG254,Salaried,X1,32.0,Yes,761875,No,0,0.0,1.0,1.0,0.0
JTWWLQTE,Male,57,RG251,Self_Employed,X2,80.0,No,1791890,Yes,0,1.0,0.0,0.0,1.0
HSZZ4FDJ,Male,40,RG284,Self_Employed,X2,37.0,No,1524845,Yes,0,1.0,0.0,0.0,1.0
FIXNGXHG,Male,56,RG282,Self_Employed,X2,61.0,No,574459,Yes,0,1.0,0.0,0.0,1.0
5BV3GES6,Female,38,RG280,Salaried,X2,13.0,No,1690733,No,1,1.0,0.0,1.0,0.0
HNTKLOT9,Female,32,RG270,Salaried,X1,25.0,Yes,471299,No,0,0.0,1.0,1.0,0.0
E4WT8DYW,Female,30,RG280,Other,X1,26.0,No,415683,No,0,1.0,0.0,1.0,0.0
MW84PPXA,Female,54,RG268,Self_Employed,X2,91.0,No,1438845,Yes,0,1.0,0.0,0.0,1.0
D6B4VHCO,Female,29,RG250,Salaried,X1,20.0,Yes,502485,No,0,0.0,1.0,1.0,0.0
J952LX5P,Male,28,RG270,Self_Employed,X1,19.0,No,622955,Yes,0,1.0,0.0,0.0,1.0
E2DR8B3F,Female,27,RG266,Salaried,X1,27.0,No,777548,No,0,1.0,0.0,1.0,0.0
36ETD8OV,Male,32,RG254,Other,X1,33.0,Yes,2186427,No,0,0.0,1.0,1.0,0.0
HZ5SUAKX,Male,41,RG256,Self_Employed,X3,33.0,No,596033,Yes,0,1.0,0.0,0.0,1.0
FAO2WTQB,Female,27,RG255,Self_Employed,X1,32.0,No,1025315,No,0,1.0,0.0,1.0,0.0
GDXHFRGP,Female,30,RG277,Salaried,X1,33.0,No,1061236,No,0,1.0,0.0,1.0,0.0
JCDJRQB8,Male,46,RG272,Other,X3,50.0,No,948134,No,0,1.0,0.0,1.0,0.0
HW8HSYK3,Female,74,RG268,Other,X3,33.0,No,5878049,Yes,0,1.0,0.0,0.0,1.0
GDZ5GWTZ,Male,42,RG254,Self_Employed,X2,91.0,No,816174,No,1,1.0,0.0,1.0,0.0
2GKAE9Z9,Male,47,RG254,Self_Employed,X3,122.0,No,1134945,No,0,1.0,0.0,1.0,0.0
97UWAML4,Male,57,RG260,Salaried,X2,74.0,No,347393,Yes,1,1.0,0.0,0.0,1.0
AUOBQMCN,Female,82,RG283,Other,X3,93.0,No,1187010,No,0,1.0,0.0,1.0,0.0
39G8WRSG,Male,53,RG268,Self_Employed,X3,97.0,No,817625,Yes,0,1.0,0.0,0.0,1.0
G99FXPH4,Female,41,RG281,Self_Employed,X2,14.0,No,344056,Yes,0,1.0,0.0,0.0,1.0
6JX66EZB,Male,44,RG276,Self_Employed,X2,19.0,Yes,380448,Yes,1,0.0,1.0,0.0,1.0
DBHGK8S8,Female,36,RG268,Salaried,X2,31.0,No,362292,Yes,1,1.0,0.0,0.0,1.0
JL6J6TCT,Female,44,RG254,Self_Employed,X3,21.0,Yes,802343,Yes,0,0.0,1.0,0.0,1.0
Q4SMLNEF,Female,28,RG282,Salaried,X1,33.0,No,829836,No,0,1.0,0.0,1.0,0.0
DUVRPHBA,Male,24,RG256,Other,X1,14.0,No,604692,No,0,1.0,0.0,1.0,0.0
6PVV73DD,Female,59,RG268,Other,X2,50.0,Yes,1597728,No,0,0.0,1.0,1.0,0.0
